measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,2017,0.6377674922269017,0.652115640628842,0.6237346436688405
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2017,61564.358793721054,62960.18801012958,60207.29550492465
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,2018,0.6347399167875012,0.64948648044417,0.6203893502975775
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2018,61270.500772924264,62684.81920426787,59886.39246844156
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,2019,0.6320101474588204,0.6471046708483614,0.6173205086646782
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2019,61012.487098150516,62449.67590218936,59613.37092786139
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,2020,0.6329839549700786,0.6479409181306186,0.6186636972002593
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2020,61150.60217572534,62583.14083478953,59724.05339103941
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,2021,0.6337102953287568,0.6482888083832591,0.6189784808211358
5,Prevalence,1,Global,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,2021,61238.03358600876,62622.35690719014,59775.94872374473
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,2,Percent,2017,0.0051306329255709,0.005905597339961,0.004500379948293
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,3,Rate,2017,495.26588975872005,569.9839349543599,435.31407188336004
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,2,Percent,2018,0.0050401798137856,0.0058037393036566,0.0044226931766658
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,3,Rate,2018,486.52147128289,560.11273166598,427.78432258219004
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,2,Percent,2019,0.0050034157444121,0.0057559108746023,0.0043925324609535
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,3,Rate,2019,483.01600273598,555.52052525995,424.91375340749
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,2,Percent,2020,0.0050178732068893,0.0057693825412261,0.004405493046853
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,3,Rate,2020,484.76150956003,557.21602742707,426.19410022856
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,2,Percent,2021,0.0050444623378378,0.0058016750489954,0.0044307460533803
5,Prevalence,1,Global,3,Both,22,All ages,690,Pedestrian road injuries,3,Rate,2021,487.46756684732,559.56826335986,428.98463758285004
5,Prevalence,1,Global,3,Both,22,All ages,692,Motorcyclist road injuries,2,Percent,2017,0.0038906340125581,0.0045038955196519,0.0032901977731775
5,Prevalence,1,Global,3,Both,22,All ages,692,Motorcyclist road injuries,3,Rate,2017,375.57040853660004,435.17224656879,317.41184466977
5,Prevalence,1,Global,3,Both,22,All ages,692,Motorcyclist road injuries,2,Percent,2018,0.0038417419712183,0.0044463295916525,0.0032510657736176
