Entrez	Gene Symbol	Ensembl ID	P-value
777	CACNA1E	ENSG00000198216	6.37e-07
153830	RNF145	ENSG00000145860	1.72e-06
79172	CENPO	ENSG00000138092	1.12e-05
90993	CREB3L1	ENSG00000157613	1.12e-05
114790	STK11IP	ENSG00000144589	1.31e-05
6532	SLC6A4	ENSG00000108576	1.44e-05
6521	SLC4A1	ENSG00000004939	2.06e-05
84945	ABHD13	ENSG00000139826	2.09e-05
1801	DPH1	ENSG00000108963	2.52e-05
100506127	GVQW3	ENSG00000179240	4.08e-05
9564	BCAR1	ENSG00000285460	4.09e-05
126402	CCDC105	ENSG00000160994	4.57e-05
8771	TNFRSF6B	ENSG00000243509	5.27e-05
339488	TFAP2E	ENSG00000116819	5.38e-05
2316	FLNA	ENSG00000196924	6.24e-05
10749	KIF1C	ENSG00000129250	6.28e-05
6236	RRAD	ENSG00000166592	6.56e-05
8834	TMEM11	ENSG00000178307	6.72e-05
4602	MYB	ENSG00000118513	6.88e-05
64319	FBRS	ENSG00000156860	6.94e-05
729974	RFPL4AL1	ENSG00000229292	7.22e-05
6344	SCTR	ENSG00000080293	9.02e-05
